accuracy,dataset,mean,step
0.4333333373069763,hot_13_31,0.4333333373069763,0
0.5666666626930237,hot_13_31,0.5,1
0.4333333373069763,hot_13_31,0.4777778089046478,2
0.4333333373069763,hot_13_31,0.46666669845581055,3
0.6333333253860474,hot_13_31,0.5,4
0.5333333611488342,hot_13_31,0.5055555701255798,5
0.6333333253860474,hot_13_31,0.523809552192688,6
0.6333333253860474,hot_13_31,0.5374999642372131,7
0.5666666626930237,hot_13_31,0.5407407283782959,8
0.6000000238418579,hot_13_31,0.5466666221618652,9
0.5666666626930237,hot_13_31,0.5484848022460938,10
0.5666666626930237,hot_13_31,0.5499999523162842,11
0.6666666865348816,hot_13_31,0.5589743256568909,12
0.6666666865348816,hot_13_31,0.5666666030883789,13
0.6666666865348816,hot_13_31,0.5733333230018616,14
0.6666666865348816,hot_13_31,0.5791666507720947,15
0.699999988079071,hot_13_31,0.5862745046615601,16
0.6666666865348816,hot_13_31,0.5907407402992249,17
0.699999988079071,hot_13_31,0.5964912176132202,18
0.699999988079071,hot_13_31,0.6016666293144226,19
0.6666666865348816,hot_13_31,0.6047618985176086,20
0.5,hot_13_31,0.6000000238418579,21
0.6666666865348816,hot_13_31,0.6028985381126404,22
0.6666666865348816,hot_13_31,0.6055555939674377,23
0.4000000059604645,hot_13_31,0.5973333120346069,24
0.46666666865348816,hot_13_31,0.5923076868057251,25
0.4000000059604645,hot_13_31,0.585185170173645,26
0.4000000059604645,hot_13_31,0.5785714387893677,27
0.7333333492279053,hot_13_31,0.5839080214500427,28
0.5333333611488342,hot_13_31,0.5822222232818604,29
0.7333333492279053,hot_13_31,0.5870966911315918,30
0.7333333492279053,hot_13_31,0.5916666388511658,31
0.5666666626930237,hot_13_31,0.5909091234207153,32
0.5333333611488342,hot_13_31,0.5892156958580017,33
0.5666666626930237,hot_13_31,0.5885714292526245,34
0.5666666626930237,hot_13_31,0.5879629850387573,35
0.46666666865348816,hot_13_31,0.5846847295761108,36
0.4000000059604645,hot_13_31,0.5798246264457703,37
0.46666666865348816,hot_13_31,0.576923131942749,38
0.46666666865348816,hot_13_31,0.5741667151451111,39
0.5666666626930237,hot_13_31,0.5739837884902954,40
0.5666666626930237,hot_13_31,0.5738096237182617,41
0.5666666626930237,hot_13_31,0.5736435055732727,42
0.5666666626930237,hot_13_31,0.5734850168228149,43
0.7333333492279053,hot_13_31,0.5770372152328491,44
0.7333333492279053,hot_13_31,0.5804349184036255,45
0.7333333492279053,hot_13_31,0.5836880803108215,46
0.7333333492279053,hot_13_31,0.5868057012557983,47
0.6333333253860474,hot_13_31,0.5877552032470703,48
0.7666666507720947,hot_13_31,0.5913334488868713,49
0.6333333253860474,hot_13_31,0.5921570062637329,50
0.6333333253860474,hot_13_31,0.592948853969574,51
0.6333333253860474,hot_13_31,0.5937108397483826,52
0.46666666865348816,hot_13_31,0.5913581252098083,53
0.6333333253860474,hot_13_31,0.5921213030815125,54
0.6333333253860474,hot_13_31,0.592857301235199,55
0.6333333253860474,hot_13_31,0.593567430973053,56
0.7333333492279053,hot_13_31,0.5959771871566772,57
0.6333333253860474,hot_13_31,0.5966103672981262,58
0.6333333253860474,hot_13_31,0.5972225069999695,59
0.6666666865348816,hot_13_31,0.5983608961105347,60
0.5666666626930237,hot_13_31,0.5978496670722961,61
0.6666666865348816,hot_13_31,0.5989421010017395,62
0.6666666865348816,hot_13_31,0.600000262260437,63
0.5333333611488342,hot_13_31,0.5989745855331421,64
0.4333333373069763,hot_13_31,0.5964649319648743,65
0.5333333611488342,hot_13_31,0.5955226421356201,66
0.5333333611488342,hot_13_31,0.5946080684661865,67
0.6333333253860474,hot_13_31,0.5951693654060364,68
0.7666666507720947,hot_13_31,0.5976192951202393,69
0.6333333253860474,hot_13_31,0.5981223583221436,70
0.6333333253860474,hot_13_31,0.5986114144325256,71
0.699999988079071,hot_13_31,0.6000003218650818,72
