accuracy,dataset,mean,step
0.6666666865348816,HotZone,0.6666666865348816,0
0.6000000238418579,HotZone,0.6333333253860474,1
0.6666666865348816,HotZone,0.644444465637207,2
0.6666666865348816,HotZone,0.6500000357627869,3
0.7333333492279053,HotZone,0.6666666865348816,4
0.7333333492279053,HotZone,0.6777777671813965,5
0.7333333492279053,HotZone,0.6857143640518188,6
0.7333333492279053,HotZone,0.6916667222976685,7
0.8333333134651184,HotZone,0.7074074745178223,8
0.699999988079071,HotZone,0.7066667079925537,9
0.8333333134651184,HotZone,0.7181819081306458,10
0.8333333134651184,HotZone,0.7277778387069702,11
0.7666666507720947,HotZone,0.7307692766189575,12
0.8333333134651184,HotZone,0.738095223903656,13
0.7666666507720947,HotZone,0.7400000095367432,14
0.7666666507720947,HotZone,0.7416666150093079,15
0.6000000238418579,HotZone,0.7333332896232605,16
0.699999988079071,HotZone,0.7314814329147339,17
0.6000000238418579,HotZone,0.7245613932609558,18
0.6000000238418579,HotZone,0.71833336353302,19
0.7666666507720947,HotZone,0.720634937286377,20
0.5333333611488342,HotZone,0.7121212482452393,21
0.7666666507720947,HotZone,0.7144927978515625,22
0.7666666507720947,HotZone,0.7166666984558105,23
0.7333333492279053,HotZone,0.7173333764076233,24
0.800000011920929,HotZone,0.720512866973877,25
0.7333333492279053,HotZone,0.7209876775741577,26
0.7333333492279053,HotZone,0.721428632736206,27
0.8333333134651184,HotZone,0.7252873778343201,28
0.7333333492279053,HotZone,0.7255556583404541,29
0.8333333134651184,HotZone,0.7290323376655579,30
0.8333333134651184,HotZone,0.7322917580604553,31
0.800000011920929,HotZone,0.7343435287475586,32
0.699999988079071,HotZone,0.73333340883255,33
0.800000011920929,HotZone,0.7352381348609924,34
0.800000011920929,HotZone,0.7370370626449585,35
0.7333333492279053,HotZone,0.7369369864463806,36
0.6666666865348816,HotZone,0.7350877523422241,37
0.7333333492279053,HotZone,0.7350427508354187,38
0.7333333492279053,HotZone,0.7350000739097595,39
0.7666666507720947,HotZone,0.7357723712921143,40
0.6666666865348816,HotZone,0.7341269850730896,41
0.7666666507720947,HotZone,0.734883725643158,42
0.7666666507720947,HotZone,0.7356061339378357,43
0.800000011920929,HotZone,0.7370370626449585,44
0.7333333492279053,HotZone,0.7369565963745117,45
0.800000011920929,HotZone,0.7382978796958923,46
0.800000011920929,HotZone,0.7395833730697632,47
0.8666666746139526,HotZone,0.7421768307685852,48
